what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143126395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143127926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143139741
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1440143139750
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1440143141693
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1440143141712
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1440143142880
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1440143144527
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1440143144563
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143144590
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1440143145838
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143148344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143149787
opened,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1440143149833
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1440143149845
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143152380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143154597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143177793
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1440143182728
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.5.1,"org.tigris.subversion.clientadapter.javahl",1440143182735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143184678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143184783
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1440143184798
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1440143184802
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1440143185081
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1440143185082
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1440143185134
started,bundle,org.eclipse.emf.common,2.9.1.v20130827-0309,"org.eclipse.emf.common",1440143185198
opened,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1440143185325
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1440143185421
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1440143185566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143187856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143194166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440143195071
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1440143198458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143199047
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143203005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143206349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143207380
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1440143207580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143234684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143252107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440143255443
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1440143262137
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1440143263300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143265303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1440143266249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440143267489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440143269729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1440143272379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440143273436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143274151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143276879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143278079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143296697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440143303357
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1440143306920
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1440143313103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143314047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1440143333368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1440143335120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143349611
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143352647
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1440143354889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143355674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143355809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143357328
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1440143359754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143359967
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1440143362375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143373364
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1440143374806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143375669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143375820
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1440143378256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143378529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143381944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1440143386991
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1440143390338
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143390598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143394629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143396758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143413040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440143414257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143420642
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1440143422981
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1440143423110
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1440143425797
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143426165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143442675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143465234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143468060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143474302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143487080
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143494644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143500506
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1440143507160
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143509751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143512311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143536001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143539807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143546222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1440143550623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1440143551840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143559938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143583502
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1440143583514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143591312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143597277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1440143597283
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143602659
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1440143605438
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1440143609066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143609880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143611597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143612696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143623033
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143623045
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1440143624048
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143625341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143629080
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1440143629087
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1440143629607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143645477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440143645573
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1440143645619
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1440143647607
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1440143647702
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1440143648812
